Price,District,City,Town,Type,EnergyCertificate,GrossArea,TotalArea,Parking,HasParking,Floor,ConstructionYear,EnergyEfficiencyLevel,PublishDate,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,ConservationStatus,LivingArea,LotSize,BuiltArea,NumberOfBathrooms
220000.0,Porto,Matosinhos,"Perafita, Lavra e Santa Cruz do Bispo",Apartment,E,,159.0,1.0,True,1st Floor,1986.0,,,,False,,2.0,,,,136.0,,,2.0
389900.0,Porto,Porto,"Aldoar, Foz do Douro e Nevogilde",Apartment,A,91.0,59.0,0.0,False,1st Floor,2020.0,,,,True,,1.0,,,,59.0,,,1.0
220000.0,Porto,Paredes,Paredes,Apartment,B,,204.0,1.0,True,2nd Floor,2003.0,,,,False,,3.0,,,,165.0,,,2.0
440000.0,Porto,Matosinhos,Matosinhos e Leça da Palmeira,Apartment,B-,,120.0,2.0,True,5th Floor,2003.0,,,,True,,2.0,,,,120.0,,,2.0
237500.0,Porto,Maia,Cidade da Maia,Apartment,A,,81.0,1.0,True,Ground Floor,,,,,True,,1.0,,,,78.0,,,1.0
179000.0,Porto,Maia,Cidade da Maia,Apartment,D,109.0,109.0,0.0,False,1st Floor,1986.0,,,,True,,3.0,,,,109.0,,,2.0
319000.0,Porto,Vila do Conde,Vila do Conde,Apartment,C,119.0,96.0,1.0,True,1st Floor,1998.0,,,,True,,2.0,,,,96.0,,,2.0
139900.0,Porto,Gondomar,Fânzeres e São Pedro da Cova,Apartment,C,,89.0,0.0,False,1st Floor,1996.0,,,,True,,3.0,,,,92.0,,,2.0
235000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,143.0,2.0,True,1st Floor,2023.0,,,,True,,3.0,,,,172.0,,,2.0
184900.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,C,147.0,126.0,1.0,True,3rd Floor,2002.0,,,,True,,3.0,,,,126.0,,,2.0
189000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,,196.0,176.0,1.0,True,1st Floor,1993.0,,,,True,,3.0,,,,176.0,,,3.0
165000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,D,,89.0,1.0,True,4th Floor,1987.0,,,,True,,2.0,,,,89.0,,,1.0
245000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,123.0,2.0,True,3rd Floor,2023.0,,,,True,,2.0,,,,166.0,,,2.0
310000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,3rd Floor,2023.0,,,,True,,3.0,,,,197.0,,,2.0
320000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,163.0,2.0,True,4th Floor,2023.0,,,,True,,3.0,,,,211.0,,,2.0
290000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,2nd Floor,2023.0,,,,True,,3.0,,,,194.0,,,2.0
295000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,163.0,2.0,True,3rd Floor,2023.0,,,,True,,3.0,,,,210.0,,,2.0
350000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,154.0,2.0,True,4th Floor,2023.0,,,,True,,3.0,,,,192.0,,,2.0
280000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,4th Floor,2023.0,,,,True,,3.0,,,,187.0,,,2.0
270000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,3rd Floor,,,,,True,,3.0,,,,186.0,,,2.0
270000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,3rd Floor,2023.0,,,,True,,3.0,,,,188.0,,,2.0
265000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,2nd Floor,2023.0,,,,True,,3.0,,,,185.0,,,2.0
265000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,2nd Floor,2023.0,,,,True,,3.0,,,,185.0,,,2.0
350000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,165.0,2.0,True,6th Floor,2023.0,,,,True,,3.0,,,,244.0,,,2.0
285000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,164.0,2.0,True,5th Floor,2023.0,,,,True,,3.0,,,,205.0,,,2.0
280000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,163.0,2.0,True,4th Floor,2023.0,,,,True,,3.0,,,,209.0,,,2.0
280000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,164.0,2.0,True,3rd Floor,2023.0,,,,True,,3.0,,,,204.0,,,2.0
265000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,164.0,2.0,True,2nd Floor,2023.0,,,,True,,3.0,,,,201.0,,,2.0
280000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,147.0,2.0,True,5th Floor,2023.0,,,,True,,3.0,,,,183.0,,,2.0
290000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,163.0,2.0,True,2nd Floor,2003.0,,,,True,,3.0,,,,209.0,,,2.0
240000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,123.0,2.0,True,2nd Floor,2023.0,,,,True,,2.0,,,,169.0,,,2.0
285000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,1st Floor,2023.0,,,,True,,3.0,,,,190.0,,,2.0
280000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,164.0,2.0,True,1st Floor,2023.0,,,,True,,3.0,,,,209.0,,,2.0
285000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,5th Floor,,,,,True,,3.0,,,,185.0,,,2.0
155000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,75.0,1.0,True,6th Floor,2023.0,,,,True,,1.0,,,,94.0,,,1.0
260000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,1st Floor,2023.0,,,,True,,3.0,,,,184.0,,,2.0
260000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,1st Floor,2023.0,,,,True,,3.0,,,,184.0,,,2.0
280000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,148.0,2.0,True,4th Floor,2023.0,,,,True,,3.0,,,,184.0,,,2.0
240000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,113.0,2.0,True,5th Floor,2023.0,,,,True,,2.0,,,,142.0,,,2.0
450000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,166.0,2.0,True,5th Floor,2023.0,,,,True,,3.0,,,,419.0,,,2.0
310000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",Apartment,A+,,154.0,2.0,True,6th Floor,2023.0,,,,True,,3.0,,,,207.0,,,2.0
