Price,District,City,Town,Type,EnergyCertificate,GrossArea,TotalArea,Parking,HasParking,Floor,ConstructionYear,EnergyEfficiencyLevel,PublishDate,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,ConservationStatus,LivingArea,LotSize,BuiltArea,NumberOfBathrooms
165000.0,Porto,Trofa,Coronado (São Romão e São Mamede),House,,165.0,900.0,2.0,True,,2023.0,,,,False,,3.0,,,,149.0,,,3.0
195000.0,Porto,Vila Nova de Gaia,Mafamude e Vilar do Paraíso,House,F,,391.0,3.0,True,,1987.0,,,,False,,6.0,,,,319.0,,,2.0
595000.0,Porto,Porto,Paranhos,House,D,246.0,383.0,1.0,True,,1988.0,,,,True,,4.0,,,,243.0,,,4.0
270000.0,Porto,Valongo,Campo e Sobrado,House,D,200.0,447.0,1.0,True,,1990.0,,,,False,,4.0,,,,168.0,,,2.0
150000.0,Porto,Vila Nova de Gaia,Santa Marinha e São Pedro da Afurada,House,F,,128.0,0.0,False,,1986.0,,,,False,,3.0,,,,128.0,,,2.0
47500.0,Porto,Baião,Santa Cruz do Douro e São Tomé de Covelas,House,,,287.0,0.0,False,,1937.0,,,,False,,3.0,,,,150.0,,,0.0
125000.0,Porto,Paredes,Recarei,House,,664.0,856.0,3.0,True,,1996.0,,,,False,,3.0,,,,192.0,,,2.0
550000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",House,C,1130.0,1130.0,0.0,False,,1987.0,,,,False,,4.0,,,,538.0,,,0.0
325000.0,Porto,Penafiel,Paço de Sousa,House,D,,900.0,0.0,False,,1986.0,,,,False,,4.0,,,,230.0,,,2.0
45000.0,Porto,Baião,Santa Marinha do Zêzere,House,,,1850.0,0.0,False,,2008.0,,,,False,,3.0,,,,82.0,,,1.0
490000.0,Porto,Gondomar,"Gondomar (São Cosme), Valbom e Jovim",House,D,1970.0,1112.0,0.0,False,,1970.0,,,,False,,7.0,,,,462.0,,,1.0
215000.0,Porto,Gondomar,"Gondomar (São Cosme), Valbom e Jovim",House,E,,1012.0,0.0,False,,1950.0,,,,False,,2.0,,,,118.0,,,1.0
78000.0,Porto,Paredes,Lordelo,House,F,89.0,778.0,0.0,False,,1962.0,,,,False,,4.0,,,,89.0,,,0.0
35000.0,Porto,Baião,Campelo e Ovil,House,,91.0,361.0,0.0,False,,1937.0,,,,False,,3.0,,,,91.0,,,2.0
42000.0,Porto,Felgueiras,Friande,House,E,,3134.0,0.0,False,,1976.0,,,,False,,3.0,,,,184.0,,,1.0
375000.0,Porto,Paredes,Astromil,House,E,,535.0,0.0,False,,1998.0,,,,False,,3.0,,,,276.0,,,2.0
65000.0,Porto,Baião,Ancede e Ribadouro,House,,,885.0,0.0,False,,1950.0,,,,False,,2.0,,,,45.0,,,0.0
116500.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",House,G,,300.0,1.0,True,,1977.0,,,,False,,5.0,,,,120.0,,,1.0
340000.0,Porto,Baião,Ancede e Ribadouro,House,D,497.0,494.0,2.0,True,,1999.0,,,,False,,5.0,,,,360.0,,,8.0
83000.0,Porto,Santo Tirso,Carreira e Refojos de Riba de Ave,House,F,,182.0,2.0,True,,1954.0,,,,False,,2.0,,,,111.0,,,1.0
375000.0,Porto,Porto,Paranhos,House,C,,215.0,0.0,False,,1986.0,,,,False,,3.0,,,,325.0,,,0.0
950000.0,Porto,Santo Tirso,Reguenga,House,D,,1000.0,1.0,True,,2010.0,,,,False,,3.0,,,,520.0,,,4.0
212000.0,Porto,Santo Tirso,São Tomé Negrelos,House,E,,232.0,0.0,False,,1973.0,,,,False,,5.0,,,,163.0,,,2.0
600000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",House,C,,670.0,2.0,True,,1987.0,,,,False,,5.0,,,,5046.0,,,2.0
800000.0,Porto,Lousada,Figueiras e Covas,House,A+,424.0,3080.0,0.0,False,,2008.0,,,,False,,5.0,,,,423.0,,,6.0
225000.0,Porto,Baião,Ancede e Ribadouro,House,E,,900.0,0.0,False,,1983.0,,,,False,,5.0,,,,314.0,,,4.0
250000.0,Porto,Vila Nova de Gaia,Avintes,House,F,,1661.0,2.0,True,,1937.0,,,,False,,5.0,,,,231.0,,,1.0
950000.0,Porto,Vila Nova de Gaia,Arcozelo,House,E,269.0,881.0,3.0,True,,1988.0,,,,False,,4.0,,,,230.0,,,4.0
330000.0,Porto,Marco de Canaveses,Marco,House,D,277.0,400.0,0.0,False,,2006.0,,,,False,,5.0,,,,277.0,,,3.0
59500.0,Porto,Amarante,Mancelos,House,,,2003.0,0.0,False,,1937.0,,,,False,,2.0,,,,76.0,,,0.0
165000.0,Porto,Baião,Gove,House,F,,400.0,1.0,True,,1985.0,,,,False,,3.0,,,,268.0,,,1.0
400000.0,Porto,Gondomar,Rio Tinto,House,D,185.0,378.0,0.0,False,,1970.0,,,,False,,4.0,,,,185.0,,,3.0
79900.0,Porto,Amarante,Figueiró (Santiago e Santa Cristina),House,G,,1150.0,0.0,False,,1920.0,,,,False,,5.0,,,,264.0,,,0.0
785000.0,Porto,Valongo,Alfena,House,D,,877.0,1.0,True,,2011.0,,,,False,,4.0,,,,245.0,,,3.0
315000.0,Porto,Baião,Campelo e Ovil,House,F,265.0,1969.0,0.0,False,,1985.0,,,,False,,3.0,,,,173.0,,,4.0
220000.0,Porto,Porto,Campanhã,House,,331.0,445.0,1.0,True,,1925.0,,,,False,,4.0,,,,331.0,,,0.0
160000.0,Porto,Paços de Ferreira,Freamunde,House,,,1486.0,2.0,True,,1986.0,,,,False,,5.0,,,,163.0,,,5.0
539000.0,Porto,Felgueiras,Vila Verde e Santão,House,E,,392.0,3.0,True,,2017.0,,,,False,,3.0,,,,1788.0,,,3.0
1000000.0,Porto,Vila Nova de Gaia,Canidelo,House,A,,266.0,2.0,True,,2023.0,,,,False,,5.0,,,,266.0,,,0.0
182500.0,Porto,Porto,Campanhã,House,,,293.0,0.0,False,,1987.0,,,,False,,4.0,,,,208.0,,,0.0
425000.0,Porto,Vila Nova de Gaia,Arcozelo,House,D,277.0,1063.0,3.0,True,,1966.0,,,,False,,4.0,,,,277.0,,,2.0
595000.0,Porto,Valongo,Valongo,House,D,,1520.0,3.0,True,,2000.0,,,,False,,4.0,,,,364.0,,,8.0
495000.0,Porto,Amarante,Figueiró (Santiago e Santa Cristina),House,D,,2500.0,3.0,True,,1998.0,,,,False,,5.0,,,,427.0,,,4.0
190000.0,Porto,Vila Nova de Gaia,Gulpilhares e Valadares,House,D,91.0,1436.0,3.0,True,,1980.0,,,,False,,2.0,,,,91.0,,,1.0
900000.0,Porto,Vila Nova de Gaia,Canidelo,House,D,,1522.0,2.0,True,,1951.0,,,,False,,2.0,,,,92.0,,,0.0
195000.0,Porto,Lousada,Nevogilde,House,D,,510.0,3.0,True,,2003.0,,,,False,,4.0,,,,262.0,,,3.0
163000.0,Porto,Penafiel,Fonte Arcada,House,D,110.0,105.0,2.0,True,,1937.0,,,,False,,3.0,,,,110.0,,,1.0
800000.0,Porto,Vila Nova de Gaia,Canidelo,House,A,,232.0,3.0,True,,2022.0,,,,False,,4.0,,,,144.0,,,5.0
160000.0,Porto,Marco de Canaveses,Constance,House,F,,800.0,2.0,True,,1978.0,,,,False,,3.0,,,,182.0,,,2.0
370000.0,Porto,Porto,Campanhã,House,C,190.0,170.0,1.0,True,,1949.0,,,,False,,4.0,,,,170.0,,,3.0
199900.0,Porto,Gondomar,Fânzeres e São Pedro da Cova,House,,,8318.0,3.0,True,,2023.0,,,,False,,2.0,,,,180.0,,,0.0
380000.0,Porto,Penafiel,Cabeça Santa,House,B-,224.0,1600.0,1.0,True,,2011.0,,,,False,,3.0,,,,176.0,,,3.0
133000.0,Porto,Baião,Gestaçô,House,C,300.0,300.0,2.0,True,,2001.0,,,,False,,3.0,,,,181.0,,,2.0
365000.0,Porto,Vila Nova de Gaia,Oliveira do Douro,House,B,241.0,207.0,1.0,True,,2023.0,,,,False,,3.0,,,,207.0,,,3.0
370000.0,Porto,Vila do Conde,Touguinha e Touguinhó,House,,292.0,164.0,2.0,True,,2023.0,,,,False,,3.0,,,,292.0,,,6.0
565000.0,Porto,Porto,Ramalde,House,C,149.0,200.0,2.0,True,,1978.0,,,,False,,4.0,,,,130.0,,,2.0
780000.0,Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,House,D,107.0,671.0,1.0,True,,1991.0,,,,False,,4.0,,,,328.0,,,4.0
325000.0,Porto,Paços de Ferreira,Freamunde,House,,,558.0,2.0,True,,2022.0,,,,False,,3.0,,,,260.0,,,3.0
550000.0,Porto,Gondomar,Melres e Medas,House,A,546.0,1418.0,3.0,True,,2013.0,,,,False,,5.0,,,,546.0,,,4.0
154000.0,Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,House,,,29.0,0.0,False,,1988.0,,,,False,,1.0,,,,29.0,,,1.0
154000.0,Porto,Matosinhos,São Mamede de Infesta e Senhora da Hora,House,,,29.0,0.0,False,Mezzanine,1988.0,,,,False,,1.0,,,,29.0,,,1.0
848000.0,Porto,Vila Nova de Gaia,Canidelo,House,,338.0,263.0,2.0,True,,,,,,False,,4.0,,,,207.0,,,5.0
798000.0,Porto,Vila Nova de Gaia,Canidelo,House,,324.0,256.0,2.0,True,,,,,,False,,4.0,,,,207.0,,,5.0
330000.0,Porto,Maia,Águas Santas,House,D,291.0,300.0,1.0,True,,1986.0,,,,False,,3.0,,,,277.0,,,3.0
277500.0,Porto,Felgueiras,Pombeiro de Ribavizela,House,D,,436.0,1.0,True,,1993.0,,,,False,,3.0,,,,420.0,,,5.0
255000.0,Porto,Vila Nova de Gaia,Avintes,House,C,,114.0,0.0,False,Ground Floor,2020.0,,,,False,,2.0,,,,131.0,,,2.0
224000.0,Porto,Amarante,Lufrei,House,F,340.0,1516.0,0.0,False,,2002.0,,,,False,,3.0,,,,170.0,,,2.0
69000.0,Porto,Amarante,Lufrei,House,F,,70.0,0.0,False,,2002.0,,,,False,,2.0,,,,70.0,,,1.0
287500.0,Porto,Gondomar,Rio Tinto,House,D,,110.0,0.0,False,1st Floor,1999.0,,,,False,,3.0,,,,110.0,,,2.0
798000.0,Porto,Vila Nova de Gaia,Canidelo,House,,319.0,250.0,2.0,True,,,,,,False,,4.0,,,,204.0,,,5.0
599000.0,Porto,Felgueiras,"Margaride (Santa Eulália), Várzea, Lagares, Varziela e Moure",House,,,600.0,3.0,True,,1998.0,,,,False,,5.0,,,,341.0,,,3.0
171500.0,Porto,Gondomar,Fânzeres e São Pedro da Cova,House,D,,293.0,2.0,True,,1984.0,,,,False,,3.0,,,,156.0,,,1.0
798000.0,Porto,Vila Nova de Gaia,Canidelo,House,,322.0,256.0,2.0,True,,,,,,False,,4.0,,,,204.0,,,5.0
299900.0,Porto,Paços de Ferreira,Meixomil,House,F,,850.0,2.0,True,,2006.0,,,,False,,3.0,,,,390.0,,,2.0
275000.0,Porto,Marco de Canaveses,Penhalonga e Paços de Gaiolo,House,A+,,634.0,1.0,True,,2021.0,,,,False,,2.0,,,,98.0,,,2.0
499000.0,Porto,Trofa,Bougado (São Martinho e Santiago),House,,170.0,1100.0,1.0,True,,1977.0,,,,False,,4.0,,,,431.0,,,0.0
275000.0,Porto,Valongo,Ermesinde,House,D,198.0,168.0,1.0,True,,1995.0,,,,False,,3.0,,,,168.0,,,3.0
475000.0,Porto,Porto,"Aldoar, Foz do Douro e Nevogilde",House,B,111.0,100.0,0.0,False,,1988.0,,,,False,,2.0,,,,100.0,,,2.0
499000.0,Porto,Porto,"Aldoar, Foz do Douro e Nevogilde",House,B,123.0,113.0,0.0,False,,1988.0,,,,False,,3.0,,,,113.0,,,2.0
